moeda,moeda_destino,valor_compra,valor_venda,maxima_dia,minima_dia,data_cotacao,arquivo_origem
USD,BRL,5.1369,5.1399,5.1643,5.0863,2026-07-28 21:19:41,cotacoes_20260729T003111Z.json
EUR,BRL,5.84454,5.85823,5.86167,5.78035,2026-07-28 21:17:20,cotacoes_20260729T003111Z.json
USD,BRL,5.1271,5.1301,5.157,5.0947,2026-07-29 19:33:39,cotacoes_20260729T223815Z.json
EUR,BRL,5.87544,5.88928,5.88582,5.81058,2026-07-29 19:03:37,cotacoes_20260729T223815Z.json
USD,BRL,5.1271,5.1301,5.157,5.0947,2026-07-29 19:33:39,cotacoes_20260729T223821Z.json
EUR,BRL,5.87544,5.88928,5.88582,5.81058,2026-07-29 19:03:37,cotacoes_20260729T223821Z.json
USD,BRL,5.1271,5.1301,5.157,5.0947,2026-07-29 19:33:39,cotacoes_20260729T223825Z.json
EUR,BRL,5.87544,5.88928,5.88582,5.81058,2026-07-29 19:03:37,cotacoes_20260729T223825Z.json
USD,BRL,5.1271,5.1301,5.157,5.0947,2026-07-29 19:33:39,cotacoes_20260729T223830Z.json
EUR,BRL,5.87544,5.88928,5.88582,5.81058,2026-07-29 19:03:37,cotacoes_20260729T223830Z.json
USD,BRL,5.1271,5.1301,5.157,5.0947,2026-07-29 19:33:39,cotacoes_20260729T223834Z.json
EUR,BRL,5.87544,5.88928,5.88582,5.81058,2026-07-29 19:03:37,cotacoes_20260729T223834Z.json
